emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
51,82,156,777,719,243,57,54
46,79,150,823,626,229,55,50
43,71,140,743,620,255,55,49
43,68,121,786,611,263,57,47
48,75,136,713,602,247,54,52
48,72,141,681,567,209,50,49
52,77,147,635,550,218,50,49
51,75,149,631,540,191,45,44
51,78,155,647,601,285,41,44
50,79,164,649,574,305,52,43
53,87,173,696,581,315,63,49
51,87,179,699,609,327,62,49
51,87,177,721,643,329,62,49
48,81,169,726,603,258,61,46
47,75,154,686,638,233,52,47
48,72,141,681,567,209,50,49
52,77,147,635,550,218,50,49
51,75,149,631,540,191,45,44
51,78,155,647,601,285,41,44
50,79,164,649,574,305,52,43
53,87,173,696,581,315,63,49
51,87,179,699,609,327,62,49
51,87,177,721,643,329,62,49
48,81,169,726,603,258,61,46
47,75,154,686,638,233,52,47
42,62,134,645,667,208,38,40
40,55,127,628,617,183,38,39
37,55,131,642,596,258,38,37
36,62,143,569,574,261,49,40
32,59,134,566,532,274,49,37
34,60,126,551,512,282,52,40
35,63,132,652,581,319,52,42
40,65,132,571,562,286,57,45
43,64,144,588,585,275,51,46
44,65,156,597,622,272,50,47
43,68,161,601,622,292,50,46
41,63,152,532,592,280,50,42
39,59,148,596,636,286,44,39
35,53,118,547,667,301,50,35
36,59,130,626,622,296,53,36
35,54,136,638,610,282,54,32
40,64,159,627,594,285,55,39
43,69,162,616,591,255,61,42
44,71,164,624,547,244,58,46
42,68,163,555,626,263,57,46
43,68,161,601,622,292,50,46
41,63,152,532,592,280,50,42
39,59,148,596,636,286,44,39
35,53,118,547,667,301,50,35
36,59,130,626,622,296,53,36
35,54,136,638,610,282,54,32
40,64,159,627,594,285,55,39
43,69,162,616,591,255,61,42
44,71,164,624,547,244,58,46
42,68,163,555,626,263,57,46
43,72,176,626,642,261,57,46
42,68,172,674,658,243,57,42
38,64,172,665,659,253,53,39
38,62,173,695,784,263,49,34
35,54,152,731,714,250,47,27
32,47,129,668,740,254,43,26
28,41,107,658,740,250,48,25
29,37,96,693,797,253,47,28
28,46,112,761,683,231,50,32
29,48,119,828,728,230,52,38
31,55,123,820,698,228,52,37
32,57,125,819,691,207,47,36
32,62,141,813,591,210,47,36
38,64,136,751,645,237,45,36
41,66,135,702,607,272,44,34
47,68,146,707,663,276,51,39
49,67,143,675,659,297,50,42
53,70,140,692,682,299,52,49
53,71,151,764,690,316,52,52
52,72,146,712,707,302,51,51
31,55,123,820,698,228,52,37
32,57,125,819,691,207,47,36
32,62,141,813,591,210,47,36
38,64,136,751,645,237,45,36
41,66,135,702,607,272,44,34
47,68,146,707,663,276,51,39
49,67,143,675,659,297,50,42
53,70,140,692,682,299,52,49
53,71,151,764,690,316,52,52
52,72,146,712,707,302,51,51
45,67,130,738,644,310,49,48
50,71,142,795,671,303,56,53
46,67,131,790,661,302,57,48
42,62,113,749,650,276,59,43
46,66,126,782,743,256,59,49
49,66,126,785,875,293,59,52
46,64,112,718,905,301,53,49
47,68,129,687,894,284,51,49
49,69,131,671,840,319,53,51
46,66,143,610,863,312,49,46
46,69,154,627,730,267,47,44
45,73,183,720,769,259,46,44
44,68,169,727,838,261,55,46
41,64,173,749,948,219,51,44
42,65,170,794,860,253,58,46
39,58,159,765,982,244,62,44
38,53,134,728,944,245,63,43
40,57,135,705,1001,262,58,39
42,61,137,714,901,292,58,42
41,57,136,729,901,260,52,43
46,69,154,627,730,267,47,44
45,73,183,720,769,259,46,44
44,68,169,727,838,261,55,46
41,64,173,749,948,219,51,44
42,65,170,794,860,253,58,46
39,58,159,765,982,244,62,44
38,53,134,728,944,245,63,43
40,57,135,705,1001,262,58,39
42,61,137,714,901,292,58,42
41,57,136,729,901,260,52,43
48,68,165,805,817,282,55,51
48,68,172,809,856,309,54,50
45,68,195,891,783,314,52,48
43,70,200,891,856,276,52,46
40,68,190,849,899,283,53,43
36,62,176,836,858,265,47,37
35,59,166,816,755,241,47,36
37,56,145,812,757,212,48,38
38,53,129,741,709,213,57,39
38,53,133,793,632,280,56,39
35,44,124,723,719,312,56,35
34,46,120,669,724,307,56,35
36,50,123,567,682,320,56,38
39,50,124,573,618,326,50,39
39,51,134,582,594,282,47,41
39,54,137,649,443,272,45,42
45,59,147,687,459,282,51,46
44,63,147,675,439,276,50,44
41,61,149,688,479,280,49,42
40,59,136,609,490,258,49,40
35,44,124,723,719,312,56,35
