emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
69,132,421,612,494,312,56,53
74,135,417,661,648,319,60,59
67,118,325,600,644,276,53,51
69,124,374,631,719,340,57,50
51,92,285,549,645,410,41,41
52,92,285,562,702,360,44,46
48,85,267,539,682,297,43,45
53,104,373,585,688,333,50,48
55,104,376,630,656,292,51,52
54,97,344,591,443,250,50,51
69,132,421,612,494,312,56,53
74,135,417,661,648,319,60,59
67,118,325,600,644,276,53,51
69,124,374,631,719,340,57,50
70,125,371,674,740,339,57,50
54,88,301,667,714,338,48,41
49,91,329,632,653,390,49,35
54,92,325,604,668,401,49,38
51,88,306,540,622,435,46,37
54,95,310,483,652,459,47,37
54,99,310,485,602,425,48,36
51,92,276,539,544,376,43,34
47,98,282,562,528,364,44,30
44,97,248,577,499,322,44,30
38,89,250,598,472,297,42,28
37,81,238,588,464,268,38,29
38,78,247,528,457,314,38,31
37,78,285,564,504,329,40,32
51,121,344,634,530,340,35,38
54,126,342,608,527,359,42,42
53,128,339,575,499,388,43,42
62,146,378,671,600,398,47,49
62,143,348,614,546,420,46,51
58,119,310,514,495,397,50,46
38,89,250,598,472,297,42,28
37,81,238,588,464,268,38,29
38,78,247,528,457,314,38,31
37,78,285,564,504,329,40,32
51,121,344,634,530,340,35,38
54,126,342,608,527,359,42,42
53,128,339,575,499,388,43,42
62,146,378,671,600,398,47,49
62,143,348,614,546,420,46,51
58,119,310,514,495,397,50,46
57,116,309,523,535,392,45,43
59,115,316,593,560,377,45,43
49,97,270,457,464,354,43,35
54,97,266,482,545,314,42,34
45,87,234,483,597,301,39,33
44,86,234,514,542,354,39,34
48,95,240,515,593,366,38,35
50,93,233,509,593,349,34,33
48,91,237,568,566,355,33,32
48,82,223,595,524,331,36,33
52,87,221,555,554,263,41,35
50,76,205,520,482,249,43,40
49,72,197,548,460,262,44,40
46,81,222,520,405,267,45,40
52,88,234,523,408,306,41,39
54,91,254,525,398,295,39,41
52,87,255,493,411,329,37,38
50,101,271,469,410,335,37,37
50,93,270,408,421,329,38,36
44,88,260,365,476,321,40,35
52,87,221,555,554,263,41,35
50,76,205,520,482,249,43,40
49,72,197,548,460,262,44,40
46,81,222,520,405,267,45,40
52,88,234,523,408,306,41,39
54,91,254,525,398,295,39,41
52,87,255,493,411,329,37,38
50,101,271,469,410,335,37,37
50,93,270,408,421,329,38,36
44,88,260,365,476,321,40,35
35,74,233,350,461,365,40,31
37,76,221,391,468,321,42,34
37,67,196,395,488,308,44,33
41,93,336,576,504,305,48,35
45,99,351,599,469,292,49,40
45,100,359,618,436,223,46,38
67,144,473,698,448,248,46,49
74,144,491,723,552,279,58,58
75,133,396,582,524,278,58,60
77,134,386,555,489,257,58,60
80,141,409,593,511,272,65,63
64,99,267,480,470,247,65,55
62,108,287,469,310,186,53,48
58,101,281,468,386,207,51,43
53,99,284,455,400,236,50,38
50,92,256,463,424,220,46,40
48,88,249,456,470,330,43,35
40,70,219,446,484,342,48,33
40,72,234,445,427,335,48,32
44,71,234,457,465,332,48,35
80,141,409,593,511,272,65,63
64,99,267,480,470,247,65,55
62,108,287,469,310,186,53,48
58,101,281,468,386,207,51,43
53,99,284,455,400,236,50,38
50,92,256,463,424,220,46,40
48,88,249,456,470,330,43,35
40,70,219,446,484,342,48,33
40,72,234,445,427,335,48,32
44,71,234,457,465,332,48,35
47,67,210,445,422,353,43,31
45,75,242,450,366,301,46,31
50,95,251,530,337,286,44,33
51,93,252,552,352,281,45,37
46,88,234,543,391,281,45,35
49,98,264,511,416,262,45,36
53,96,247,531,472,320,45,37
50,75,212,491,466,353,45,38
52,91,276,501,513,361,42,34
53,96,286,513,452,374,44,36
53,97,303,539,461,416,52,38
54,99,303,515,438,346,50,39
50,96,299,470,456,340,47,36
50,91,256,451,460,370,47,37
49,89,252,461,516,375,45,37
46,84,230,453,489,413,38,32
43,81,225,454,455,429,36,28
43,84,242,437,497,412,39,28
40,75,219,446,443,398,43,27
42,84,236,425,433,383,42,27
53,97,303,539,461,416,52,38
54,99,303,515,438,346,50,39
50,96,299,470,456,340,47,36
50,91,256,451,460,370,47,37
49,89,252,461,516,375,45,37
46,84,230,453,489,413,38,32
43,81,225,454,455,429,36,28
43,84,242,437,497,412,39,28
40,75,219,446,443,398,43,27
42,84,236,425,433,383,42,27
39,82,241,445,516,330,40,26
38,81,239,446,528,329,43,28
38,83,233,513,490,339,39,29
36,89,244,495,497,330,35,29
34,85,254,489,433,313,40,32
36,84,240,517,452,269,41,35
36,87,236,499,449,297,41,35
37,85,225,428,453,293,42,37
39,82,228,443,442,288,40,35
37,73,209,488,451,302,34,33
34,72,191,371,328,303,35,30
35,67,183,358,312,239,33,30
33,60,176,350,360,210,32,27
31,52,136,303,348,173,31,28
29,49,91,208,338,129,31,24
28,35,61,199,326,92,26,24
26,28,51,172,314,149,24,21
23,29,39,146,197,201,21,20
19,25,36,125,161,207,19,19
18,26,33,84,126,241,19,19
34,72,191,371,328,303,35,30
35,67,183,358,312,239,33,30
33,60,176,350,360,210,32,27
31,52,136,303,348,173,31,28
29,49,91,208,338,129,31,24
28,35,61,199,326,92,26,24
26,28,51,172,314,149,24,21
23,29,39,146,197,201,21,20
19,25,36,125,161,207,19,19
18,26,33,84,126,241,19,19
17,29,52,74,109,241,19,17
18,33,69,68,97,204,18,17
19,34,114,53,72,149,19,19
21,41,155,50,70,150,22,19
21,42,171,44,65,89,23,20
23,46,169,32,60,289,24,19
26,45,168,30,76,372,24,21
26,44,142,34,95,377,23,19
25,37,97,36,100,376,22,19
24,34,64,39,105,376,19,17
22,27,57,39,121,272,22,17
19,24,43,38,107,216,21,14
19,22,37,34,91,230,21,15
21,22,33,28,85,230,22,13
20,19,30,27,78,229,25,14
19,20,25,23,56,207,22,16
18,20,24,24,79,126,22,17
17,20,24,28,88,82,22,20
14,19,31,29,86,66,20,22
16,20,32,28,96,56,23,23
22,27,57,39,121,272,22,17
19,24,43,38,107,216,21,14
19,22,37,34,91,230,21,15
21,22,33,28,85,230,22,13
20,19,30,27,78,229,25,14
19,20,25,23,56,207,22,16
18,20,24,24,79,126,22,17
17,20,24,28,88,82,22,20
14,19,31,29,86,66,20,22
16,20,32,28,96,56,23,23
16,18,31,28,94,59,23,22
17,17,32,30,83,51,24,21
17,19,34,39,84,41,25,18
19,19,56,39,84,35,25,18
19,18,74,39,71,32,21,18
20,19,80,39,67,32,21,17
20,19,80,37,55,33,21,19
20,18,80,34,68,32,19,19
18,19,66,34,66,111,21,18
17,19,42,35,66,146,22,18
18,20,30,34,67,150,24,18
18,21,29,35,78,151,24,17
17,20,25,27,61,150,28,17
17,21,24,26,61,107,27,18
16,21,24,27,61,49,26,19
14,18,26,27,61,26,24,20
14,16,27,25,46,23,24,19
16,17,25,21,35,33,19,19
16,15,21,25,33,31,18,18
15,16,21,22,31,32,18,16
86,125,364,895,896,547,69,64
85,128,383,958,923,544,67,66
93,179,437,964,996,514,78,75
93,182,455,954,934,483,83,76
91,189,505,915,927,520,85,81
91,201,518,864,977,512,87,81
94,201,523,848,932,522,89,85
83,163,486,921,868,513,81,78
86,161,469,963,874,504,78,77
84,146,430,1039,833,510,83,71
85,116,421,1039,761,436,80,72
81,119,416,990,871,443,77,61
77,111,381,865,892,462,77,59
82,132,405,846,1005,480,89,65
86,137,402,775,1044,403,88,72
85,138,359,799,1104,437,87,71
83,135,354,804,1027,425,86,72
85,135,385,861,1047,423,80,68
80,121,347,881,975,468,63,61
73,119,356,882,976,491,60,56
70,118,357,809,917,528,60,54
76,128,353,930,957,524,66,58
84,142,363,946,955,524,76,66
84,133,377,951,948,457,74,66
84,129,342,1014,861,441,68,61
81,131,331,1009,851,383,69,58
78,121,319,904,801,411,65,54
65,101,271,851,792,379,53,44
64,109,337,794,730,402,57,43
65,115,366,705,786,393,67,52
70,118,357,809,917,528,60,54
76,128,353,930,957,524,66,58
84,142,363,946,955,524,76,66
84,133,377,951,948,457,74,66
84,129,342,1014,861,441,68,61
81,131,331,1009,851,383,69,58
78,121,319,904,801,411,65,54
65,101,271,851,792,379,53,44
64,109,337,794,730,402,57,43
65,115,366,705,786,393,67,52
70,117,391,803,812,393,71,58
73,123,418,823,782,349,70,57
89,139,428,890,783,355,75,72
88,143,386,934,857,378,75,72
84,136,376,973,824,377,69,68
88,141,397,937,830,363,67,73
82,131,361,853,836,490,68,71
62,107,343,772,785,500,69,56
61,96,356,770,763,494,66,54
65,100,354,682,759,497,67,53
58,98,355,616,718,512,63,45
61,105,365,689,718,433,61,45
66,114,404,718,670,429,55,50
74,135,382,690,604,438,57,53
71,129,377,783,624,467,60,53
71,118,356,892,727,450,62,54
80,128,391,918,771,461,70,63
78,127,361,877,810,454,69,60
69,108,386,867,833,436,67,56
69,111,375,845,910,458,62,56
58,98,355,616,718,512,63,45
61,105,365,689,718,433,61,45
66,114,404,718,670,429,55,50
74,135,382,690,604,438,57,53
71,129,377,783,624,467,60,53
71,118,356,892,727,450,62,54
80,128,391,918,771,461,70,63
78,127,361,877,810,454,69,60
69,108,386,867,833,436,67,56
69,111,375,845,910,458,62,56
65,117,368,762,830,463,63,53
54,108,348,747,788,443,53,41
50,100,339,803,794,435,52,39
47,92,315,830,816,402,55,39
55,93,306,781,723,327,61,44
62,94,286,782,757,379,59,46
67,102,265,796,790,365,59,52
72,116,290,769,762,382,60,55
72,116,247,711,741,394,58,55
67,122,303,768,748,429,57,51
60,119,303,772,749,388,53,49
67,111,294,696,774,400,57,55
66,107,295,653,804,467,61,56
67,112,330,718,845,468,61,55
66,100,279,636,868,452,58,54
74,110,281,569,819,480,62,57
61,99,279,561,736,461,60,46
58,92,245,589,674,385,58,43
65,83,228,596,610,442,66,49
66,90,234,626,549,435,62,48
60,119,303,772,749,388,53,49
67,111,294,696,774,400,57,55
66,107,295,653,804,467,61,56
67,112,330,718,845,468,61,55
66,100,279,636,868,452,58,54
74,110,281,569,819,480,62,57
61,99,279,561,736,461,60,46
58,92,245,589,674,385,58,43
65,83,228,596,610,442,66,49
66,90,234,626,549,435,62,48
62,76,248,685,671,389,64,50
64,83,251,738,704,464,65,53
67,89,260,701,746,528,68,54
64,97,242,637,791,489,68,56
62,92,230,679,834,485,72,59
58,101,245,648,784,480,69,53
57,101,239,638,795,439,74,53
58,98,246,670,787,398,72,54
63,97,261,690,840,402,63,52
65,107,276,687,766,412,62,51
67,102,260,681,767,441,68,56
66,103,258,724,802,394,59,55
70,129,300,733,781,381,61,59
63,126,284,704,689,393,61,55
63,119,286,693,745,418,62,55
63,115,266,661,703,450,59,53
67,118,259,599,699,454,61,51
62,85,196,564,707,427,57,44
61,82,178,580,659,418,58,44
59,83,209,544,651,393,61,48
67,102,260,681,767,441,68,56
66,103,258,724,802,394,59,55
70,129,300,733,781,381,61,59
63,126,284,704,689,393,61,55
63,119,286,693,745,418,62,55
63,115,266,661,703,450,59,53
67,118,259,599,699,454,61,51
62,85,196,564,707,427,57,44
61,82,178,580,659,418,58,44
59,83,209,544,651,393,61,48
54,82,216,582,648,319,54,43
53,84,256,606,586,398,58,49
56,88,259,636,638,406,62,50
56,89,264,605,631,365,60,59
57,98,281,608,646,369,58,54
61,104,288,653,673,383,66,61
64,106,282,580,664,289,64,56
65,104,285,551,644,332,64,58
67,103,285,575,678,359,62,49
68,96,243,559,613,330,63,64
64,94,236,522,594,359,55,60
60,92,225,550,582,407,53,61
56,95,230,640,665,377,59,63
54,96,234,636,664,394,61,65
53,95,233,647,666,429,62,60
57,102,246,654,653,400,66,63
52,95,253,647,662,396,71,62
63,96,235,574,573,407,65,59
64,95,239,629,599,447,63,56
65,102,230,568,692,433,59,48
64,94,236,522,594,359,55,60
60,92,225,550,582,407,53,61
56,95,230,640,665,377,59,63
54,96,234,636,664,394,61,65
53,95,233,647,666,429,62,60
57,102,246,654,653,400,66,63
52,95,253,647,662,396,71,62
63,96,235,574,573,407,65,59
64,95,239,629,599,447,63,56
65,102,230,568,692,433,59,48
66,94,221,548,692,433,54,43
72,102,207,585,760,418,47,41
64,102,216,549,794,408,47,40
68,116,228,544,778,334,53,50
67,108,237,568,704,381,56,52
68,108,235,605,749,410,102,56
70,98,226,594,734,411,106,60
70,104,290,666,723,426,110,61
73,96,276,631,738,459,107,57
72,97,277,644,712,408,105,60
70,99,290,666,696,401,61,68
62,100,286,701,633,383,53,68
58,84,208,660,591,380,45,68
49,79,239,647,525,369,47,67
59,80,235,691,626,371,55,64
56,72,208,620,586,363,61,54
59,72,230,572,621,380,62,61
66,82,242,554,618,348,69,77
63,78,213,580,656,341,69,78
55,78,212,547,622,395,72,76
70,99,290,666,696,401,61,68
62,100,286,701,633,383,53,68
58,84,208,660,591,380,45,68
49,79,239,647,525,369,47,67
59,80,235,691,626,371,55,64
56,72,208,620,586,363,61,54
59,72,230,572,621,380,62,61
66,82,242,554,618,348,69,77
63,78,213,580,656,341,69,78
55,78,212,547,622,395,72,76
63,91,223,600,654,368,76,80
60,92,198,585,636,365,82,73
56,90,217,689,659,353,76,55
70,109,248,699,630,341,80,59
86,111,241,715,629,284,74,61
94,114,247,751,639,351,69,58
94,113,259,748,710,355,66,59
97,112,237,734,680,417,64,62
93,99,223,751,709,420,58,55
78,99,234,751,653,410,56,51
66,89,234,718,661,429,60,47
69,105,276,784,650,468,79,47
68,109,273,749,671,454,83,47
65,106,267,735,742,536,96,54
69,104,257,755,816,541,98,63
67,104,254,768,921,573,98,62
72,109,260,685,895,531,84,63
68,112,269,638,908,513,80,60
70,115,283,634,870,415,70,55
67,114,283,614,848,448,70,46
66,89,234,718,661,429,60,47
69,105,276,784,650,468,79,47
68,109,273,749,671,454,83,47
65,106,267,735,742,536,96,54
69,104,257,755,816,541,98,63
67,104,254,768,921,573,98,62
72,109,260,685,895,531,84,63
68,112,269,638,908,513,80,60
70,115,283,634,870,415,70,55
67,114,283,614,848,448,70,46
76,125,323,680,778,359,73,54
68,117,296,722,769,368,74,50
64,109,302,751,734,355,76,51
70,128,347,741,708,350,69,54
74,141,403,739,665,380,75,58
73,135,411,763,661,434,74,60
82,133,410,764,739,459,76,72
92,149,457,792,787,473,83,82
88,133,440,863,754,498,88,85
95,139,438,909,825,478,85,89
91,158,473,878,775,490,84,83
94,165,490,942,724,480,82,78
101,189,534,936,710,559,80,75
119,212,550,888,758,584,101,85
111,209,562,886,722,581,109,82
112,211,604,886,777,558,106,84
114,218,610,902,811,677,110,86
112,213,609,1024,900,641,118,88
97,197,574,1063,925,657,102,97
103,188,553,1089,998,678,98,103
91,158,473,878,775,490,84,83
94,165,490,942,724,480,82,78
101,189,534,936,710,559,80,75
119,212,550,888,758,584,101,85
111,209,562,886,722,581,109,82
112,211,604,886,777,558,106,84
114,218,610,902,811,677,110,86
112,213,609,1024,900,641,118,88
97,197,574,1063,925,657,102,97
103,188,553,1089,998,678,98,103
101,171,470,1078,999,709,106,116
94,165,502,1030,962,607,106,115
88,157,449,989,916,608,96,117
91,158,493,1079,916,562,98,99
98,173,481,1015,956,584,97,95
104,178,457,1018,922,544,95,85
100,168,434,1057,916,526,88,82
94,151,408,1040,901,478,85,71
87,143,368,918,915,489,79,67
70,125,351,916,804,395,80,62
62,116,354,902,862,429,71,53
69,124,293,843,871,416,68,48
71,118,298,771,867,449,70,49
77,132,315,751,812,484,70,53
79,148,354,779,788,559,62,51
73,141,364,791,683,570,64,48
69,134,366,790,715,573,68,49
76,152,380,806,773,558,72,51
68,141,385,830,770,567,78,54
70,145,389,815,758,513,78,60
62,116,354,902,862,429,71,53
69,124,293,843,871,416,68,48
71,118,298,771,867,449,70,49
77,132,315,751,812,484,70,53
79,148,354,779,788,559,62,51
73,141,364,791,683,570,64,48
69,134,366,790,715,573,68,49
76,152,380,806,773,558,72,51
68,141,385,830,770,567,78,54
70,145,389,815,758,513,78,60
73,150,413,810,747,470,75,62
78,167,489,875,729,501,73,66
73,166,515,848,676,590,65,64
74,167,502,817,664,578,58,61
73,157,492,805,717,575,67,57
76,158,479,793,810,551,72,55
73,148,441,772,786,545,69,52
67,127,380,780,760,511,71,51
64,119,390,787,847,468,70,46
62,118,365,798,884,460,67,46
59,122,374,809,850,519,75,46
63,131,375,765,865,503,77,52
63,138,417,828,910,427,76,53
62,141,412,861,856,430,77,53
63,130,403,867,796,425,70,57
67,128,419,863,828,338,56,56
57,105,363,822,835,478,62,48
61,107,339,754,842,488,66,50
66,103,327,680,835,503,64,54
70,107,326,659,874,516,71,50
59,122,374,809,850,519,75,46
63,131,375,765,865,503,77,52
63,138,417,828,910,427,76,53
62,141,412,861,856,430,77,53
63,130,403,867,796,425,70,57
67,128,419,863,828,338,56,56
57,105,363,822,835,478,62,48
61,107,339,754,842,488,66,50
66,103,327,680,835,503,64,54
70,107,326,659,874,516,71,50
69,100,252,598,778,504,70,49
70,94,285,664,740,338,68,50
67,74,267,654,610,330,64,48
61,69,255,626,612,325,60,44
52,64,251,572,479,300,48,39
44,54,242,513,470,297,48,37
39,57,204,380,424,426,45,45
52,59,143,248,398,637,270,92
54,59,110,229,254,754,349,200
71,57,100,166,204,840,430,262
127,78,109,149,172,911,543,320
159,96,105,118,126,905,678,363
163,96,100,102,84,1000,643,365
164,97,98,84,71,921,631,332
161,101,99,108,108,860,589,292
122,87,70,96,110,809,492,239
79,64,59,92,116,800,343,239
98,89,64,98,113,483,374,305
185,100,65,97,112,554,468,307
198,98,55,66,76,636,490,338
127,78,109,149,172,911,543,320
159,96,105,118,126,905,678,363
163,96,100,102,84,1000,643,365
164,97,98,84,71,921,631,332
161,101,99,108,108,860,589,292
122,87,70,96,110,809,492,239
79,64,59,92,116,800,343,239
98,89,64,98,113,483,374,305
185,100,65,97,112,554,468,307
198,98,55,66,76,636,490,338
200,100,52,58,67,635,525,351
209,111,54,56,55,625,591,343
220,102,51,46,47,691,605,307
178,97,45,44,45,640,587,440
165,100,46,42,41,523,640,446
186,111,44,41,38,486,681,452
194,102,40,41,38,428,635,429
166,89,34,34,30,278,590,409
141,79,32,38,29,227,544,259
135,68,30,35,30,239,457,209
98,36,28,31,28,251,405,179
57,29,26,25,23,265,350,186
55,26,23,25,24,298,361,176
52,22,23,19,25,250,376,155
59,25,21,19,22,229,383,166
59,24,21,20,23,311,325,139
60,24,18,23,25,349,328,123
57,24,18,22,25,363,304,122
53,26,17,22,24,359,217,119
44,24,15,23,24,361,301,89
98,36,28,31,28,251,405,179
57,29,26,25,23,265,350,186
55,26,23,25,24,298,361,176
52,22,23,19,25,250,376,155
59,25,21,19,22,229,383,166
59,24,21,20,23,311,325,139
60,24,18,23,25,349,328,123
57,24,18,22,25,363,304,122
53,26,17,22,24,359,217,119
44,24,15,23,24,361,301,89
42,22,18,22,24,275,311,94
33,22,20,18,25,191,297,82
32,22,20,19,24,79,311,82
27,20,21,18,22,53,311,81
26,20,23,17,24,44,217,75
28,21,21,17,23,38,218,78
28,23,18,17,20,43,236,92
29,24,18,16,20,39,243,88
29,23,19,15,22,38,241,85
28,25,20,16,21,34,223,78
25,26,20,17,22,31,196,79
23,25,23,18,22,26,169,67
21,25,23,19,21,26,137,72
21,26,25,21,19,32,206,78
21,25,23,20,22,32,209,75
22,24,24,19,22,39,247,85
25,24,22,21,21,37,267,103
25,25,22,22,22,38,271,104
28,24,18,21,20,35,221,101
29,22,18,22,17,37,216,105
87,170,443,810,880,566,92,72
82,171,498,840,888,545,86,64
86,176,511,896,749,465,82,67
90,199,566,899,722,521,84,66
88,202,533,840,769,465,79,63
78,176,503,878,786,445,69,55
73,164,468,899,840,491,75,57
68,165,463,924,843,533,68,52
58,140,388,905,812,518,61,41
63,136,408,921,773,557,65,46
65,135,421,864,872,590,74,49
63,132,394,830,805,527,73,50
71,129,369,814,910,526,81,58
70,125,350,807,867,520,80,57
69,121,342,779,913,493,79,55
64,108,270,751,785,485,75,57
66,113,269,776,819,542,72,54
63,121,304,725,736,541,67,53
60,114,300,661,719,508,63,52
80,132,364,698,722,462,75,68
79,138,404,705,792,461,71,64
79,140,412,622,697,391,69,65
78,145,459,701,680,351,69,64
86,151,486,770,735,366,77,70
65,133,439,715,650,377,63,55
64,122,405,703,550,316,61,54
68,116,441,803,674,320,73,57
66,93,371,694,620,346,72,58
70,132,418,684,590,331,63,54
70,137,425,735,643,351,65,53
79,138,404,705,792,461,71,64
79,140,412,622,697,391,69,65
78,145,459,701,680,351,69,64
86,151,486,770,735,366,77,70
65,133,439,715,650,377,63,55
64,122,405,703,550,316,61,54
68,116,441,803,674,320,73,57
66,93,371,694,620,346,72,58
70,132,418,684,590,331,63,54
70,137,425,735,643,351,65,53
89,157,453,790,663,364,84,68
88,162,424,743,663,470,79,66
90,170,445,804,697,447,77,64
84,149,393,846,697,464,84,63
88,152,399,825,715,469,85,64
69,140,385,804,742,486,70,49
62,133,367,740,675,412,67,44
62,128,351,657,653,408,62,41
58,116,326,525,643,364,64,43
53,105,295,528,589,378,60,39
67,116,293,521,649,384,62,49
68,111,277,518,599,363,64,52
61,101,253,609,572,371,64,50
65,108,256,681,630,509,61,52
66,111,254,629,643,536,65,53
47,80,223,590,506,514,59,43
52,99,270,632,515,530,56,44
66,121,317,704,642,594,81,53
61,117,307,616,581,496,77,52
59,115,302,613,517,433,75,51
67,116,293,521,649,384,62,49
68,111,277,518,599,363,64,52
61,101,253,609,572,371,64,50
65,108,256,681,630,509,61,52
66,111,254,629,643,536,65,53
47,80,223,590,506,514,59,43
52,99,270,632,515,530,56,44
66,121,317,704,642,594,81,53
61,117,307,616,581,496,77,52
59,115,302,613,517,433,75,51
65,125,317,667,520,449,81,53
69,123,342,700,658,455,87,56
62,108,295,653,601,434,70,51
59,103,296,679,626,452,67,44
60,107,327,695,649,489,67,46
62,106,331,686,708,499,62,45
59,97,290,674,627,573,61,41
53,89,293,599,594,525,59,35
54,95,315,699,635,546,62,39
59,97,337,725,814,556,65,43
50,88,324,702,813,614,64,41
47,91,330,721,855,556,56,42
46,91,329,742,857,556,56,42
49,91,335,622,830,534,59,40
54,110,357,729,652,505,67,44
56,116,358,717,599,417,66,47
64,128,350,675,474,391,68,47
69,131,373,709,574,505,86,52
70,128,345,699,560,486,85,55
65,119,282,600,564,471,77,47
50,88,324,702,813,614,64,41
47,91,330,721,855,556,56,42
46,91,329,742,857,556,56,42
49,91,335,622,830,534,59,40
54,110,357,729,652,505,67,44
56,116,358,717,599,417,66,47
64,128,350,675,474,391,68,47
69,131,373,709,574,505,86,52
70,128,345,699,560,486,85,55
65,119,282,600,564,471,77,47
67,119,311,627,583,466,82,47
64,102,293,617,673,462,83,49
63,107,260,513,682,381,66,48
61,110,282,555,722,397,65,45
63,97,285,515,776,415,63,49
60,104,271,534,837,442,57,47
52,108,304,550,783,451,57,44
45,97,324,603,749,417,49,38
46,100,317,630,735,542,51,39
40,98,300,627,670,552,58,33
46,104,323,719,627,530,61,42
48,98,277,702,653,511,59,43
50,101,248,652,585,489,59,45
95,162,328,728,555,356,73,65
107,187,397,742,558,360,70,68
106,177,359,606,498,351,69,65
108,177,364,564,432,353,68,66
111,185,412,690,603,506,84,69
75,129,352,557,561,496,73,49
64,94,281,561,541,454,67,46
46,104,323,719,627,530,61,42
48,98,277,702,653,511,59,43
50,101,248,652,585,489,59,45
95,162,328,728,555,356,73,65
107,187,397,742,558,360,70,68
106,177,359,606,498,351,69,65
108,177,364,564,432,353,68,66
111,185,412,690,603,506,84,69
75,129,352,557,561,496,73,49
64,94,281,561,541,454,67,46
71,133,401,727,686,582,73,49
72,136,413,826,770,622,92,56
74,133,388,807,714,525,79,56
75,139,395,846,754,526,82,57
70,140,408,859,819,526,82,56
65,110,303,787,868,420,76,53
61,103,284,685,827,358,55,41
55,103,297,645,774,410,58,39
62,100,286,687,794,427,62,46
59,95,269,651,732,431,63,45
60,96,289,641,576,414,77,47
59,95,298,668,565,416,73,47
59,87,253,607,534,436,71,45
52,90,256,488,479,467,70,41
55,88,239,489,495,475,73,44
60,102,265,494,432,463,59,44
59,104,265,505,487,454,61,44
58,111,313,634,587,360,68,50
59,112,331,710,720,319,64,47
57,114,338,720,713,318,62,44
60,96,289,641,576,414,77,47
59,95,298,668,565,416,73,47
59,87,253,607,534,436,71,45
52,90,256,488,479,467,70,41
55,88,239,489,495,475,73,44
60,102,265,494,432,463,59,44
59,104,265,505,487,454,61,44
58,111,313,634,587,360,68,50
59,112,331,710,720,319,64,47
57,114,338,720,713,318,62,44
54,110,319,699,795,435,65,47
57,109,317,701,776,501,65,50
54,100,288,667,722,515,56,42
57,95,285,664,605,531,60,50
59,94,278,648,601,546,60,52
63,100,297,656,495,446,55,48
76,120,311,656,551,419,61,56
82,126,304,572,564,409,60,61
89,147,361,540,484,425,54,60
97,152,395,636,669,452,59,66
90,139,377,604,670,465,58,65
83,151,445,690,745,466,68,60
78,147,440,737,749,459,67,56
68,134,435,807,837,476,79,51
57,131,415,736,723,489,81,46
70,145,432,807,731,493,81,58
63,118,358,723,666,483,68,54
65,118,389,761,741,519,74,59
66,111,342,640,677,476,62,61
63,113,347,635,680,462,63,59
90,139,377,604,670,465,58,65
83,151,445,690,745,466,68,60
78,147,440,737,749,459,67,56
68,134,435,807,837,476,79,51
57,131,415,736,723,489,81,46
70,145,432,807,731,493,81,58
63,118,358,723,666,483,68,54
65,118,389,761,741,519,74,59
66,111,342,640,677,476,62,61
63,113,347,635,680,462,63,59
68,123,342,633,775,467,66,54
70,121,318,608,729,434,64,55
79,128,331,667,760,430,64,65
79,135,348,674,796,405,64,63
81,134,345,693,811,347,55,66
72,111,334,700,716,340,60,67
69,115,387,725,670,399,63,67
58,107,371,643,595,394,57,55
62,115,352,665,541,423,57,57
58,114,340,634,476,415,56,51
55,107,316,553,473,389,48,47
67,120,330,570,664,470,60,55
67,117,295,491,604,451,62,55
65,103,318,470,586,413,58,53
67,101,332,511,636,452,59,55
75,111,373,613,654,464,62,59
71,101,315,586,507,409,56,54
69,100,327,601,549,408,54,53
65,90,288,591,569,511,67,50
68,96,285,572,546,526,68,49
55,107,316,553,473,389,48,47
67,120,330,570,664,470,60,55
67,117,295,491,604,451,62,55
65,103,318,470,586,413,58,53
67,101,332,511,636,452,59,55
75,111,373,613,654,464,62,59
71,101,315,586,507,409,56,54
69,100,327,601,549,408,54,53
65,90,288,591,569,511,67,50
68,96,285,572,546,526,68,49
55,83,227,412,528,531,64,41
65,109,330,536,555,589,74,53
65,108,321,549,496,591,75,51
63,115,333,603,476,496,65,50
60,118,341,661,670,523,68,50
61,123,348,732,723,516,69,53
45,94,271,674,714,402,51,36
50,97,271,699,833,426,51,41
50,88,245,655,826,458,54,43
55,94,274,636,728,402,51,43
54,89,261,570,783,400,46,42
56,93,283,635,753,378,46,44
55,98,293,609,667,428,45,41
62,117,300,609,711,400,53,46
57,109,246,607,674,370,53,48
60,107,263,642,632,411,57,52
55,98,218,520,655,411,57,49
55,90,212,533,638,328,56,48
55,71,205,553,676,315,52,47
55,68,212,515,642,406,52,43
54,89,261,570,783,400,46,42
56,93,283,635,753,378,46,44
55,98,293,609,667,428,45,41
62,117,300,609,711,400,53,46
57,109,246,607,674,370,53,48
60,107,263,642,632,411,57,52
55,98,218,520,655,411,57,49
55,90,212,533,638,328,56,48
55,71,205,553,676,315,52,47
55,68,212,515,642,406,52,43
55,82,267,509,589,411,59,42
55,82,261,503,549,416,60,47
64,121,261,476,523,433,68,50
56,126,323,515,572,478,68,45
57,124,321,488,601,406,66,49
75,145,306,462,593,374,61,52
76,150,316,540,724,382,66,50
68,122,306,525,722,351,57,47
88,145,338,580,653,463,72,57
88,143,341,609,696,465,74,54
73,114,301,586,709,484,70,47
73,111,297,534,662,540,71,48
77,126,318,561,681,563,71,52
56,95,216,461,713,461,55,43
53,94,207,411,636,510,54,42
53,97,215,426,675,537,56,42
50,97,201,403,635,477,51,39
